,Hedge,HedgeContext,FativeVerb,FactiveVerbContext,AssertiveVerb,AssertiveVerbContext,ImplicativeVerb,ImplicativeVerbContext,ReportVerb,ReportVerbContext,StrongSub,StrongSubContext,WeakSub,WeakSubContext,PositiveWord,PositiveWordContext,NegativeWord,NegativeWordContext,BiasLexicon
0,2.73972602739726,10.50228310502283,0.45662100456621,1.82648401826484,7.76255707762557,29.22374429223744,1.36986301369863,4.5662100456621,13.698630136986301,46.57534246575342,7.76255707762557,24.200913242009133,12.785388127853881,43.37899543378995,4.10958904109589,15.981735159817351,7.30593607305936,23.28767123287671,32.42009132420091
1,2.1621621621621623,8.64864864864865,0.5405405405405406,2.1621621621621623,5.9459459459459465,21.08108108108108,0.0,0.0,9.72972972972973,35.67567567567568,7.567567567567568,27.56756756756757,10.27027027027027,32.432432432432435,0.0,0.0,12.972972972972974,42.7027027027027,27.027027027027028
2,0.0,0.0,0.0,0.0,5.0,20.0,1.6666666666666667,6.666666666666667,11.666666666666666,41.66666666666667,6.666666666666667,23.333333333333332,21.666666666666668,65.0,5.0,20.0,10.0,33.33333333333333,43.333333333333336
3,0.0,0.0,0.47393364928909953,1.8957345971563981,2.3696682464454977,9.47867298578199,0.0,0.0,6.161137440758294,21.32701421800948,4.265402843601896,16.113744075829384,11.374407582938389,36.492890995260666,7.109004739336493,24.644549763033176,1.4218009478672986,5.687203791469194,34.59715639810427
4,1.9305019305019304,7.722007722007722,0.3861003861003861,1.5444015444015444,4.247104247104247,16.216216216216218,0.0,0.0,6.177606177606178,23.166023166023166,3.088803088803089,11.583011583011583,14.285714285714285,44.01544401544402,5.7915057915057915,21.62162162162162,1.1583011583011582,4.633204633204633,24.71042471042471
5,1.2658227848101267,5.063291139240507,1.89873417721519,6.329113924050633,5.063291139240507,16.455696202531644,0.6329113924050633,2.5316455696202533,10.126582278481013,32.91139240506329,3.79746835443038,15.18987341772152,5.063291139240507,17.088607594936708,0.0,0.0,5.063291139240507,18.9873417721519,24.68354430379747
6,2.933333333333333,11.200000000000001,1.0666666666666667,3.4666666666666663,6.666666666666667,25.066666666666666,2.4,9.6,9.866666666666667,33.06666666666666,7.199999999999999,24.0,17.333333333333336,50.4,5.6000000000000005,20.266666666666666,5.333333333333334,17.599999999999998,24.0
7,0.591715976331361,2.366863905325444,0.0,0.0,1.183431952662722,4.733727810650888,0.0,0.0,4.142011834319527,15.384615384615385,5.325443786982249,18.93491124260355,8.284023668639055,28.994082840236686,4.142011834319527,14.201183431952662,2.366863905325444,8.875739644970414,10.059171597633137
8,1.8404907975460123,6.134969325153374,0.6134969325153374,2.4539877300613497,5.521472392638037,21.472392638036812,0.0,0.0,7.361963190184049,26.993865030674847,7.975460122699387,26.993865030674847,7.975460122699387,26.380368098159508,4.294478527607362,15.950920245398773,1.8404907975460123,7.361963190184049,24.539877300613497
9,1.3207547169811322,5.09433962264151,1.509433962264151,6.037735849056604,0.9433962264150944,3.7735849056603774,1.3207547169811322,5.283018867924529,2.4528301886792456,9.245283018867925,6.415094339622642,21.132075471698116,9.622641509433963,33.39622641509434,6.981132075471698,26.037735849056602,3.5849056603773586,12.641509433962264,21.132075471698116
10,1.3071895424836601,4.57516339869281,0.4357298474945534,1.7429193899782136,1.7429193899782136,6.535947712418301,0.6535947712418301,2.6143790849673203,8.278867102396514,29.411764705882355,10.893246187363834,38.344226579520694,16.33986928104575,48.80174291938998,6.753812636165578,23.74727668845316,11.982570806100219,39.21568627450981,20.26143790849673
11,1.8018018018018018,7.207207207207207,0.0,0.0,5.405405405405405,20.72072072072072,0.0,0.0,10.81081081081081,32.432432432432435,4.504504504504505,18.01801801801802,11.711711711711711,36.93693693693694,1.8018018018018018,6.306306306306306,6.306306306306306,23.423423423423422,30.630630630630627
12,0.0,0.0,0.6711409395973155,2.684563758389262,2.684563758389262,10.06711409395973,0.6711409395973155,2.684563758389262,12.080536912751679,40.939597315436245,8.724832214765101,27.516778523489933,5.369127516778524,18.79194630872483,2.684563758389262,10.738255033557047,11.409395973154362,35.57046979865772,24.832214765100673
13,1.5384615384615385,6.153846153846154,1.9230769230769231,7.6923076923076925,5.384615384615385,20.76923076923077,1.5384615384615385,6.153846153846154,10.76923076923077,36.92307692307693,6.153846153846154,21.53846153846154,12.307692307692308,39.23076923076923,1.153846153846154,4.615384615384616,8.461538461538462,26.153846153846157,21.53846153846154
14,1.8450184501845017,7.380073800738007,0.7380073800738007,2.952029520295203,2.952029520295203,11.808118081180812,0.36900369003690037,1.4760147601476015,9.22509225092251,32.10332103321033,8.118081180811808,29.15129151291513,10.70110701107011,35.42435424354243,2.952029520295203,11.808118081180812,8.487084870848708,29.88929889298893,14.391143911439114
15,1.7167381974248928,6.866952789699571,0.8583690987124464,3.4334763948497855,6.008583690987124,21.888412017167383,1.2875536480686696,5.150214592274678,10.72961373390558,36.9098712446352,8.15450643776824,27.467811158798284,4.291845493562231,15.450643776824036,2.575107296137339,9.44206008583691,3.004291845493562,9.44206008583691,27.038626609442062
16,1.1111111111111112,4.444444444444445,0.0,0.0,3.888888888888889,14.444444444444443,0.5555555555555556,2.2222222222222223,6.666666666666667,25.555555555555554,7.222222222222221,26.111111111111114,7.222222222222221,23.333333333333332,6.666666666666667,23.333333333333332,5.0,18.333333333333332,20.555555555555554
17,0.0,0.0,0.0,0.0,0.6711409395973155,2.684563758389262,0.0,0.0,2.348993288590604,8.724832214765101,3.691275167785235,14.76510067114094,7.38255033557047,25.503355704697988,4.3624161073825505,16.10738255033557,3.691275167785235,14.76510067114094,23.154362416107382
