,Hedge,HedgeContext,FativeVerb,FactiveVerbContext,AssertiveVerb,AssertiveVerbContext,ImplicativeVerb,ImplicativeVerbContext,ReportVerb,ReportVerbContext,StrongSub,StrongSubContext,WeakSub,WeakSubContext,PositiveWord,PositiveWordContext,NegativeWord,NegativeWordContext,BiasLexicon,bjp_count,congress_count
21,0.836820084,3.347280335,0.418410042,1.673640167,1.255230126,4.184100418,0.836820084,3.347280335,9.623430962,34.30962343,15.89958159,52.30125523,15.48117155,46.0251046,6.276150628,24.26778243,11.29707113,37.65690377,21.75732218,6.694560669,2.510460251
22,1.915708812,6.896551724,1.149425287,4.597701149,4.214559387,14.17624521,1.149425287,4.597701149,6.130268199,21.4559387,13.40996169,42.14559387,17.24137931,54.02298851,8.812260536,31.80076628,9.195402299,32.56704981,26.43678161,2.681992337,0.766283525
23,1.960784314,7.843137255,0.980392157,3.921568627,3.18627451,11.76470588,0.980392157,3.921568627,8.578431373,29.41176471,11.51960784,38.97058824,17.40196078,48.7745098,3.676470588,13.23529412,10.78431373,36.2745098,28.18627451,5.637254902,2.205882353
24,3.493449782,13.31877729,1.091703057,4.366812227,4.148471616,15.72052402,0.873362445,3.27510917,6.550218341,22.48908297,17.2489083,51.09170306,16.15720524,51.74672489,6.113537118,22.27074236,13.97379913,45.63318777,25.54585153,4.585152838,1.310043668
25,3.326403326,12.26611227,1.663201663,6.652806653,1.455301455,5.821205821,2.286902287,9.147609148,4.781704782,19.12681913,9.355509356,31.80873181,17.46361746,51.35135135,4.158004158,15.59251559,4.573804574,16.21621622,27.65072765,2.494802495,1.03950104
26,4.365079365,16.07142857,1.19047619,4.761904762,2.976190476,11.50793651,0.396825397,1.587301587,6.349206349,23.61111111,13.0952381,41.46825397,16.86507937,50.79365079,4.166666667,15.07936508,8.531746032,29.36507937,26.58730159,6.944444444,1.587301587
27,1.834862385,6.422018349,1.834862385,7.339449541,2.752293578,11.00917431,0.917431193,3.669724771,9.174311927,26.60550459,15.59633028,45.87155963,9.174311927,32.11009174,0.917431193,3.669724771,10.09174312,32.11009174,22.93577982,4.587155963,0
28,2.487562189,9.950248756,1.492537313,5.472636816,4.47761194,16.91542289,0.995024876,3.980099502,6.965174129,27.36318408,11.94029851,40.29850746,21.89054726,66.66666667,4.47761194,16.41791045,8.955223881,33.33333333,30.34825871,4.47761194,0.995024876
29,3.571428571,14.28571429,1.587301587,5.952380952,5.555555556,21.42857143,1.19047619,4.761904762,12.6984127,46.42857143,7.142857143,25.79365079,18.65079365,52.77777778,5.555555556,19.44444444,6.746031746,25.3968254,28.57142857,0.793650794,0
30,2.654867257,10.61946903,1.769911504,7.079646018,6.194690265,23.00884956,1.769911504,7.079646018,12.38938053,40.26548673,7.079646018,23.45132743,19.02654867,57.96460177,6.637168142,23.89380531,5.752212389,21.23893805,30.08849558,0.884955752,1.327433628
31,1.930501931,7.335907336,3.474903475,12.35521236,5.405405405,20.07722008,1.158301158,4.633204633,13.12741313,45.55984556,7.335907336,23.16602317,12.74131274,40.15444015,5.791505792,19.69111969,4.633204633,17.37451737,26.25482625,0.772200772,0.772200772
32,2.016129032,7.258064516,0.806451613,3.225806452,1.612903226,6.048387097,0.806451613,3.225806452,5.241935484,19.35483871,17.74193548,53.22580645,22.17741935,58.46774194,7.258064516,24.59677419,9.677419355,31.85483871,30.24193548,4.032258065,1.612903226
33,4.444444444,17.77777778,5.185185185,18.51851852,0.740740741,1.481481481,0,0,6.666666667,22.22222222,14.81481481,43.7037037,20.74074074,60,4.444444444,14.81481481,4.444444444,17.03703704,31.11111111,1.481481481,0
34,2.325581395,8.637873754,0.332225914,1.328903654,1.328903654,5.315614618,0.664451827,2.657807309,3.65448505,14.28571429,6.976744186,24.58471761,14.28571429,45.18272425,3.65448505,13.62126246,5.315614618,18.27242525,22.92358804,1.328903654,0
35,1.876675603,6.970509383,0.536193029,2.144772118,7.774798928,28.15013405,1.340482574,5.361930295,10.18766756,34.31635389,8.310991957,27.61394102,15.81769437,51.20643432,3.217158177,12.60053619,3.485254692,12.60053619,30.8310992,0,1.876675603
36,3.448275862,13.30049261,0.985221675,3.9408867,3.9408867,15.27093596,1.477832512,4.926108374,3.9408867,14.77832512,13.79310345,43.34975369,22.66009852,67.98029557,3.448275862,13.30049261,15.7635468,53.20197044,26.10837438,1.477832512,0
37,1.960784314,7.843137255,0.392156863,1.568627451,5.882352941,21.17647059,1.960784314,7.843137255,9.803921569,36.8627451,9.411764706,35.29411765,19.60784314,55.29411765,2.745098039,10.58823529,14.50980392,49.01960784,35.29411765,7.450980392,0.392156863
