,Unnamed: 0,Hedge,HedgeContext,FativeVerb,FactiveVerbContext,AssertiveVerb,AssertiveVerbContext,ImplicativeVerb,ImplicativeVerbContext,ReportVerb,ReportVerbContext,StrongSub,StrongSubContext,WeakSub,WeakSubContext,PositiveWord,PositiveWordContext,NegativeWord,NegativeWordContext,BiasLexicon,bjp_count,congress_count,Biased,label
72,72,1.115241636,4.4609665430000005,1.4869888480000002,5.204460967,4.089219331000001,16.35687732,0.7434944240000001,2.973977695,8.550185874,31.2267658,13.01115242,40.5204461,16.35687732,50.92936803,2.973977695,11.15241636,12.639405199999999,41.63568773,28.62453532,4.4609665430000005,1.115241636,1,others
75,75,2.164502165,8.225108225,0.865800866,3.463203463,3.896103896,15.15151515,0.0,0.0,9.090909091,34.63203463,19.91341991,58.87445887,12.98701299,38.52813853,8.225108225,26.83982684,11.68831169,38.96103896,28.13852814,5.627705627999999,2.597402597,1,others
76,76,1.6666666669999999,6.666666667,2.777777778,11.11111111,5.0,18.33333333,2.222222222,8.888888889,11.11111111,37.77777778,17.77777778,55.0,17.22222222,50.0,7.777777778,25.55555556,11.11111111,39.44444444,31.11111111,1.6666666669999999,1.6666666669999999,1,others
78,78,2.7397260269999997,10.50228311,0.456621005,1.8264840180000002,7.7625570779999995,29.22374429,1.369863014,4.566210046,13.69863014,46.57534247,7.7625570779999995,24.20091324,12.78538813,43.37899543,4.109589041,15.98173516,7.305936073,23.28767123,32.42009132,2.7397260269999997,1.8264840180000002,1,others
79,79,2.162162162,8.648648649,0.540540541,2.162162162,5.945945946,21.08108108,0.0,0.0,9.72972973,35.67567568,7.567567567999999,27.56756757,10.27027027,32.43243243,0.0,0.0,12.97297297,42.7027027,27.02702703,2.702702703,2.702702703,1,others
80,80,0.0,0.0,0.0,0.0,5.0,20.0,1.6666666669999999,6.666666667,11.66666667,41.66666667,6.666666667,23.33333333,21.66666667,65.0,5.0,20.0,10.0,33.33333333,43.33333333,8.333333332999999,6.666666667,1,others
81,81,0.0,0.0,0.473933649,1.895734597,2.369668246,9.478672986,0.0,0.0,6.161137441,21.32701422,4.265402844,16.11374408,11.37440758,36.492891,7.1090047389999995,24.64454976,1.421800948,5.687203791,34.5971564,1.895734597,2.369668246,1,others
89,89,1.801801802,7.207207207000001,0.0,0.0,5.405405405,20.72072072,0.0,0.0,10.81081081,32.43243243,4.504504505,18.01801802,11.71171171,36.93693694,1.801801802,6.306306306000001,6.306306306000001,23.42342342,30.63063063,4.504504505,0.900900901,1,others
93,93,1.716738197,6.86695279,0.858369099,3.433476395,6.008583691,21.88841202,1.287553648,5.150214592,10.72961373,36.90987124,8.154506438,27.46781116,4.2918454939999995,15.45064378,2.575107296,9.442060086,3.004291845,9.442060086,27.03862661,4.721030043,7.2961373389999995,1,others
98,98,0.0,0.0,1.379310345,5.517241379,3.67816092,14.02298851,3.448275862,13.56321839,7.586206897,25.74712644,6.206896552000001,22.06896552,20.22988506,56.09195402,2.988505747,11.72413793,11.26436782,37.47126437,28.73563218,5.287356322,2.988505747,1,others
102,102,0.534759358,2.139037433,1.069518717,4.278074866,7.4866310160000005,27.27272727,0.534759358,2.139037433,12.8342246,42.78074866,5.882352941000001,22.45989305,12.29946524,38.5026738,1.069518717,4.278074866,8.021390374,29.94652406,28.34224599,2.139037433,5.347593583,1,others
103,103,2.293577982,9.174311927,0.458715596,1.834862385,6.422018349,23.39449541,0.917431193,3.6697247710000003,7.798165138,27.98165138,6.880733945,25.68807339,9.633027522999999,31.19266055,5.04587156,19.26605505,5.963302752000001,19.26605505,28.89908257,1.834862385,13.76146789,1,others
110,110,1.9138755980000002,7.655502392000001,0.47846890000000003,1.9138755980000002,1.435406699,5.741626794,3.8277511960000004,15.31100478,4.3062200960000006,15.78947368,5.263157895,19.13875598,20.57416268,57.41626794,1.435406699,5.741626794,11.48325359,41.14832536,28.22966507,7.177033493,2.392344498,1,others
111,111,1.776649746,6.5989847720000006,0.253807107,1.015228426,1.52284264,5.329949238999999,1.269035533,4.568527919,4.314720812,15.4822335,6.852791878,23.35025381,17.00507614,51.26903553,8.629441624,29.18781726,4.060913706,13.70558376,28.68020305,1.776649746,4.314720812,1,others
112,112,0.9259259259999999,3.086419753,0.617283951,2.469135802,6.172839506,22.83950617,0.617283951,2.469135802,9.87654321,33.95061728,6.481481481,24.38271605,9.87654321,31.48148148,2.160493827,8.641975309,7.407407407000001,26.234567900000002,31.79012346,4.012345679,2.469135802,1,others
115,115,3.039513678,11.55015198,2.127659574,7.902735562,5.1671732519999996,20.06079027,1.823708207,6.686930091,5.47112462,21.27659574,7.598784195,26.13981763,13.98176292,44.98480243,6.686930091,24.62006079,3.3434650460000004,12.15805471,27.65957447,2.431610942,1.215805471,1,others
117,117,0.558659218,2.234636872,0.0,0.0,3.351955307,13.40782123,0.558659218,2.234636872,8.379888268,28.49162011,11.17318436,29.05027933,12.29050279,43.57541899,7.2625698320000005,24.58100559,5.586592179,17.87709497,28.49162011,5.027932961,2.234636872,1,others
119,119,0.39215686299999997,1.176470588,1.176470588,4.705882353,6.274509804,23.52941176,0.784313725,3.137254902,9.411764706,33.33333333,7.843137255,27.45098039,11.37254902,38.82352941,5.098039216,19.60784314,3.137254902,11.76470588,27.45098039,9.019607843,5.490196077999999,1,others
120,120,3.1847133760000004,12.738853500000001,0.0,0.0,8.280254777,31.21019108,0.636942675,2.547770701,13.37579618,44.58598726,10.1910828,34.39490446,10.1910828,33.75796178,0.636942675,2.547770701,14.01273885,43.94904459,33.75796178,10.82802548,3.821656051,1,others
121,121,0.571428571,2.285714286,1.714285714,6.857142857,2.857142857,9.142857142999999,4.0,15.42857143,8.0,26.85714286,7.428571429,26.28571429,19.42857143,51.42857143,4.0,16.0,13.14285714,42.28571429,29.71428571,6.285714286,4.571428571,1,others
125,125,0.408163265,1.6326530609999999,0.408163265,1.6326530609999999,6.12244898,23.26530612,1.6326530609999999,6.530612245,12.65306122,42.85714286,10.20408163,33.46938776,14.69387755,50.20408163,4.081632653,15.51020408,8.571428571,29.79591837,29.387755100000003,14.69387755,1.6326530609999999,1,others
127,127,0.649350649,2.597402597,0.0,0.0,7.142857143,24.67532468,0.0,0.0,12.98701299,43.50649351,7.792207792,25.32467532,18.18181818,48.7012987,1.298701299,5.194805195,5.844155843999999,20.12987013,29.87012987,7.142857143,5.194805195,1,others
128,128,1.604278075,5.882352941000001,0.534759358,2.139037433,6.951871658,25.6684492,1.069518717,4.278074866,13.36898396,44.9197861,10.16042781,35.29411765,10.16042781,33.15508021,1.069518717,4.278074866,3.7433155080000002,14.97326203,29.94652406,1.069518717,7.4866310160000005,1,others
130,130,2.545454545,10.18181818,2.1818181819999998,8.727272727,2.9090909089999997,10.18181818,1.0909090909999999,4.3636363639999995,9.818181818,32.72727273,6.909090909,24.72727273,10.90909091,37.09090909,0.363636364,1.454545455,6.545454545,25.09090909,28.36363636,3.272727273,1.0909090909999999,1,others
135,135,1.19760479,4.790419162,0.598802395,2.395209581,4.191616766,16.76646707,0.0,0.0,7.7844311379999995,27.54491018,5.988023952000001,19.16167665,11.976047900000001,35.32934132,2.395209581,9.580838323,7.185628743,24.5508982,31.13772455,5.988023952000001,4.790419162,1,others
136,136,1.030927835,3.951890034,0.515463918,2.06185567,5.326460481,20.6185567,1.374570447,5.154639175,14.776632300000001,48.45360825,12.37113402,40.89347079,15.29209622,46.39175258,4.467353952,17.01030928,10.82474227,35.05154639,31.27147766,6.013745704,3.092783505,1,others
137,137,2.671755725,9.541984733,1.145038168,4.580152672,4.198473282,16.03053435,0.0,0.0,8.015267176,30.15267176,8.396946565,29.77099237,16.79389313,53.05343511,3.8167938930000003,15.26717557,10.6870229,34.35114504,29.00763359,5.72519084,1.145038168,1,others
139,139,1.308139535,5.23255814,2.034883721,7.848837209,6.831395349,25.29069767,0.7267441859999999,2.9069767439999996,14.38953488,47.674418599999996,11.48255814,38.08139535,12.79069767,39.24418605,3.1976744189999997,12.35465116,10.02906977,32.84883721,30.81395349,7.412790697999999,4.651162791,1,others
146,146,0.492610837,1.97044335,2.463054187,9.852216749,0.985221675,3.9408866999999996,0.0,0.0,9.359605911000001,33.00492611,6.403940887,23.15270936,11.33004926,38.91625616,0.985221675,3.9408866999999996,7.881773399,28.57142857,29.06403941,3.9408866999999996,7.881773399,1,others
148,148,0.980392157,3.921568627,0.0,0.0,4.901960784,18.62745098,0.0,0.0,13.7254902,43.1372549,10.78431373,31.37254902,14.70588235,46.07843137,0.0,0.0,14.70588235,42.15686275,29.41176471,9.803921569,1.960784314,1,others
150,150,1.793721973,6.950672646,2.01793722,7.847533632,4.708520179,17.71300448,0.448430493,1.793721973,5.829596412999999,21.52466368,5.156950673,17.04035874,10.31390135,34.52914798,5.605381166,19.95515695,4.035874439,14.57399103,30.94170404,6.278026906,4.932735426,1,others
